OS;Cliente;Endereco;Bairro;Cidade;UF;Tipo de servico;Periodo;Tecnico;Latitude;Longitude
48210;Ana Bezerra;Qd 104 Norte, Alameda 12, Lote 5;Plano Diretor Norte;Palmas;TO;Sem sinal;Manhã;;-10.1742;-48.3325
48211;Carlos Menezes;Qd 108 Norte, Alameda 4, Lote 22;Plano Diretor Norte;Palmas;TO;Instalação;Manhã;;-10.1795;-48.3361
48212;Rita Andrade;Qd 106 Norte, Alameda 9, Lote 11;Plano Diretor Norte;Palmas;TO;Troca de ONU;Tarde;;-10.1768;-48.3298
48213;Jonas Prado;Qd 110 Norte, Alameda 7, Lote 3;Plano Diretor Norte;Palmas;TO;Lentidão;Tarde;;-10.1821;-48.3340
48214;Marta Siqueira;Qd 102 Norte, Alameda 3, Lote 18;Plano Diretor Norte;Palmas;TO;Mudança de endereço;Manhã;;-10.1710;-48.3352
48215;Edson Rocha;Qd 112 Norte, Alameda 15, Lote 9;Plano Diretor Norte;Palmas;TO;Sem sinal;Manhã;;-10.1850;-48.3312
48216;Luciana Torres;Qd 203 Sul, Alameda 8, Lote 14;Plano Diretor Sul;Palmas;TO;Instalação;Tarde;;-10.2431;-48.3267
48217;Pedro Vilar;Qd 207 Sul, Alameda 11, Lote 2;Plano Diretor Sul;Palmas;TO;Troca de roteador;Manhã;;-10.2478;-48.3241
48218;Sandra Lopes;Qd 205 Sul, Alameda 5, Lote 7;Plano Diretor Sul;Palmas;TO;Lentidão;Tarde;;-10.2455;-48.3298
48219;Rafael Nunes;Qd 209 Sul, Alameda 2, Lote 20;Plano Diretor Sul;Palmas;TO;Sem sinal;Manhã;;-10.2502;-48.3275
48220;Teresa Cardoso;Qd 201 Sul, Alameda 6, Lote 12;Plano Diretor Sul;Palmas;TO;Retirada de equipamento;Tarde;;-10.2408;-48.3230
48221;Iracema Dias;Rua 12, Qd 4, Lote 30, Taquaralto;Taquaralto;Palmas;TO;Instalação;Manhã;;-10.2884;-48.3115
48222;Gilson Farias;Rua 5, Qd 9, Lote 8, Taquaralto;Taquaralto;Palmas;TO;Sem sinal;Tarde;;-10.2921;-48.3078
48223;Nadia Correia;Rua 20, Qd 2, Lote 17, Taquaralto;Taquaralto;Palmas;TO;Troca de ONU;Tarde;;-10.2866;-48.3042
48224;Otávio Braga;Rua 8, Qd 11, Lote 1, Taquaralto;Taquaralto;Palmas;TO;Lentidão;Manhã;;-10.2949;-48.3131
48225;Fabiana Reis;Rua 15, Qd 7, Lote 25, Taquaralto;Taquaralto;Palmas;TO;Instalação;Manhã;;-10.2903;-48.3160
